2024-10-13 17:15:48,024 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Configure stats pid to 54834
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Loading settings from /Users/hamidosooli/.config/wandb/settings
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Loading settings from /Users/hamidosooli/PycharmProjects/MARL/COMA/wandb/settings
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'training.py', 'program_abspath': '/Users/hamidosooli/PycharmProjects/MARL/COMA/training.py', 'program': '/Users/hamidosooli/PycharmProjects/MARL/COMA/training.py'}
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:_log_setup():532] Logging user logs to /Users/hamidosooli/PycharmProjects/MARL/COMA/wandb/run-20241013_171548-gqrvpm6q/logs/debug.log
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/hamidosooli/PycharmProjects/MARL/COMA/wandb/run-20241013_171548-gqrvpm6q/logs/debug-internal.log
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:init():616] calling init triggers
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:init():666] starting backend
2024-10-13 17:15:48,025 INFO    MainThread:54834 [wandb_init.py:init():670] setting up manager
2024-10-13 17:15:48,026 INFO    MainThread:54834 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-13 17:15:48,027 INFO    MainThread:54834 [wandb_init.py:init():678] backend started and connected
2024-10-13 17:15:48,030 INFO    MainThread:54834 [wandb_init.py:init():773] updated telemetry
2024-10-13 17:15:48,030 INFO    MainThread:54834 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-13 17:15:48,154 INFO    MainThread:54834 [wandb_init.py:init():857] starting run threads in backend
2024-10-13 17:15:48,232 INFO    MainThread:54834 [wandb_run.py:_console_start():2459] atexit reg
2024-10-13 17:15:48,232 INFO    MainThread:54834 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-13 17:15:48,232 INFO    MainThread:54834 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-13 17:15:48,232 INFO    MainThread:54834 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-13 17:15:48,234 INFO    MainThread:54834 [wandb_init.py:init():900] run started, returning control to user process
2024-10-13 17:15:48,273 INFO    MainThread:54834 [wandb_watch.py:watch():51] Watching
2024-10-13 17:15:48,894 WARNING MsgRouterThr:54834 [router.py:message_loop():77] message_loop has been closed
